1	<CANADA   
2  ABU AIL IS  Y
3  AFGHANISTAN   
4  AGALEGA & ST BRANDON   
5  ALAND IS   
6  ALASKA   
7  ALBANIA   
8  ALDABRA  Y
9  AMERICAN SAMOA   
10  AMSTERDAM & ST PAUL   
11  ANDAMAN & NICOBAR IS   
12  ANGUILLA   
13  ANTARCTICA   
14  ARMENIA   
15  ASIATIC RUSSIA   
16  AUCKLAND & CAMPBELL   
17  AVES ISLAND   
18  AZERBAIJAN   
19  BAJO NUEVO  Y
20  BAKER, HOWLAND IS   
21  BALEARIC IS   
22  PALAU   
23  BLENHEIM REEF  Y
24  BOUVET   
  25  BRITISH N. BORNEO  Y
  26  BRITISH SOMALI  Y
  27  BELARUS   
  28  CANAL ZONE  Y
  29  CANARY IS   
  30  CELEBE/MOLUCCA IS  Y
  31  C KIRIBATI   
  32  CEUTA & MELILLA   
  33  CHAGOS   
  34  CHATHAM IS   
  35  CHRISTMAS IS   
  36  CLIPPERTON IS   
  37  COCOS ISLAND   
  38  COCOS-KEELING IS   
  39  COMOROS    Y
  40  CRETE   
  41  CROZET   
  42  DAMAO, DUI  Y
  43  DESECHEO IS   
  44  DESROCHES  Y
  45  DODECANESE   
  46  EAST MALAYSIA   
  47  EASTER IS   
  48  EASTERN KIRIBATI   
  49  EQUATORIAL GUINEA   
  50  MEXICO   
  51  ERITREA   
  52  ESTONIA   
  53  ETHIOPIA   
  54  EUROPEAN RUSSIA   
  55  FARQUHAR  Y
  56  FERNANDO DE NORONHA   
  57  FRENCH EQ. AFRICA  Y
  58  FRENCH INDO-CHINA  Y
  59  FRENCH WEST AFRICA  Y
  60  BAHAMAS   
  61  FRANZ JOSEF LAND   
  62  BARBADOS   
  63  FRENCH GUIANA   
  64  BERMUDA   
  65  BRITISH VIRGIN IS   
  66  BELIZE   
  67  FRENCH INDIA  Y
  68  SAUDI/KUWAIT N.Z.  Y
  69  CAYMAN ISLANDS   
  70  CUBA    
  71  GALAPAGOS   
  72  DOMINICAN REPUBLIC   
  74  EL SALVADOR   
  75  GEORGIA   
  76  GUATEMALA   
  77  GRENADA   
  78  HAITI   
  79  GUADELOUPE   
  80  HONDURAS   
  81  GERMANY  Y
  82  JAMAICA   
  84  MARTINIQUE   
  85  BONAIRE,CURACAO   
  86  NICARAGUA   
  88  PANAMA   
  89  TURKS & CAICOS IS   
  90  TRINIDAD & TOBAGO   
  91  ARUBA   
  93  GEYSER REEF  Y
  94  ANTIGUA & BARBUDA   
  95  DOMINICA   
  96  MONTSERRAT   
  97  ST LUCIA   
  98  ST VINCENT   
  99  GLORIOSO IS   
  100  ARGENTINA   
  101  GOA  Y
  102  GOLD COAST/TOGOLND  Y
  103  GUAM   
  104  BOLIVIA   
  105  GUANTANAMO BAY   
  106  GUERNSEY   
  107   GUINEA   
  108  BRAZIL   
  109  GUINEA-BISSAU   
  110  HAWAII   
  111  HEARD IS   
  112  CHILE   
  113  IFNI  Y
  114  ISLE OF MAN   
  115  ITALIAN SOMALI  Y
  116  COLOMBIA   
  117  ITU HQ    
  118  JAN MAYEN   
  119  JAVA  Y
  120  ECUADOR   
  122  JERSEY   
  123  JOHNSTON IS   
  124  JUAN DE NOVA   
